case_id,kn,surface_id,s_over_Lw,x_m,y_m,records,cp_dsmc,cp_dsmc_sem,cp_s3,cp_full_control,cf_dsmc,cf_dsmc_sem,cf_s3,cf_full_control
ISO_Ma6_Kn0p8,0.8,984,0.051443759255338284,0.2211665,0.0035,9783,0.6580163441118547,0.005548241984601361,0.6580478073030656,0.6583778156685967,-0.02493371869597607,0.0031061482373685007,-0.025398182000613296,-0.02515453034907838
ISO_Ma6_Kn0p8,0.8,985,0.06859253621014307,0.2215,0.0045000000000000005,10030,0.693034082423474,0.008731266385319365,0.695662533411921,0.6934307773260725,-0.01613553671259573,0.0037384962374428466,-0.019458536110773847,-0.015708170421759753
ISO_Ma6_Kn0p8,0.8,986,0.08574131316494782,0.22183350000000002,0.0055,9996,0.6997678907359701,0.010338486665049978,0.6989105334723139,0.7001532984336322,-0.01884899403959047,0.0044578377696400055,-0.021187520030300614,-0.01907910862377081
ISO_Ma6_Kn0p8,0.8,987,0.10288751851067657,0.2221665,0.006500000000000001,9861,0.7081978318079815,0.0022458258672398007,0.7082552773694968,0.7085873141455385,-0.019490385544132165,0.0027762570673479717,-0.018708094185624826,-0.019723390670603896
ISO_Ma6_Kn0p8,0.8,988,0.12003629546548134,0.2225,0.0075,10254,0.7513669759934203,0.01115484501777233,0.7517357734752713,0.751788439870437,-0.005266468248180149,0.002110630430082897,-0.006093704938597495,-0.004798323119492171
ISO_Ma6_Kn0p8,0.8,989,0.13718507242028613,0.22283350000000002,0.0085,10122,0.744378967663206,0.008472976129782544,0.7443303634737743,0.7447907851515401,-0.010067615371753446,0.0024050595720851876,-0.007275267758542802,-0.010306426870663117
ISO_Ma6_Kn0p8,0.8,990,0.15433127776601485,0.2231665,0.0095,10200,0.7587704415613583,0.014219921172356941,0.7602560239320876,0.7591936878852025,0.00193491511505246,0.0007869695107761342,-0.00065280915646494,0.0016981751132465962
ISO_Ma6_Kn0p8,0.8,991,0.17148005472081962,0.2235,0.010499999999999999,10548,0.7926690547661375,0.01422461595424236,0.7938778845656773,0.7931020388443077,0.01229880869208794,0.0025785711322838484,0.011791728714191532,0.01280111044539572
ISO_Ma6_Kn0p8,0.8,992,0.18862883167562441,0.22383350000000002,0.0115,10743,0.8250210646335884,0.010747476898010372,0.825012397253747,0.8254849301182748,0.020635024868567636,0.003847251562856163,0.020237417012989055,0.02038837601190647
ISO_Ma6_Kn0p8,0.8,993,0.20577503702135316,0.2241665,0.0125,10720,0.8299355983094738,0.005148014325763618,0.8301380224476832,0.8304034232640566,0.02500892929027281,0.003412036493390788,0.02228349561462094,0.024763159579913978
