rank,hidden,trunk_energy_fraction,mean_validation_relative_L2_uv,min_validation_relative_L2_uv,max_validation_relative_L2_uv,mean_iterations
3,32x32,0.9999015963719956,0.0023499764550148233,0.001885071789175381,0.002610514097580652,211.66666666666666
3,64x64,0.9999015963719956,0.0024538538294887023,0.002008304534420811,0.0033314164485112405,164.66666666666666
3,16x16,0.9999015963719956,0.0033728789756681137,0.0020728307813156774,0.0055102405055305675,132.0
4,32x32,0.999997607147968,0.0034414716640852887,0.0010073865912770359,0.006336307676208552,146.0
4,16x16,0.999997607147968,0.004732004501660989,0.0025341454101658954,0.008175394367933101,167.33333333333334
4,64x64,0.999997607147968,0.01676397410672277,0.00758200407492185,0.02947095020629844,129.33333333333334
