construction,moment,f_minus,f_plus,difference
pressure,vn^0 vt^0,1.0,1.0000000000000007,6.661338147750939e-16
pressure,vn^0 vt^1,7.315578471819893e-17,8.188279660662326e-17,8.727011888424333e-18
pressure,vn^1 vt^0,9.07198599124641e-17,2.9841092327319046e-17,-6.087876758514505e-17
pressure,vn^0 vt^2,0.9993830099126816,0.9993830099126821,5.551115123125783e-16
pressure,vn^1 vt^1,3.46641947091167e-18,4.981040112055467e-18,1.514620641143797e-18
pressure,vn^2 vt^0,0.9993830099126818,0.999383009912682,2.220446049250313e-16
pressure,vn^0 vt^3,-8.544724111602553e-17,-6.030680031570546e-17,2.5140440800320066e-17
pressure,vn^1 vt^2,8.455565952970157e-17,1.4222216550458677e-16,5.76665059748852e-17
pressure,vn^2 vt^1,8.650722344017548e-17,7.413426907249709e-17,-1.2372954367678387e-17
pressure,vn^3 vt^0,3.099607220891765e-17,-3.8014644119892927e-16,-4.111425134078469e-16
shear,vn^0 vt^0,1.0000000000000004,1.0,-4.440892098500626e-16
shear,vn^0 vt^1,4.1550475790162494e-17,8.833461513299599e-17,4.6784139342833494e-17
shear,vn^1 vt^0,6.8438689667803e-17,7.358946558719313e-17,5.150775919390123e-18
shear,vn^0 vt^2,0.9993830099126817,0.9993830099126818,1.1102230246251565e-16
shear,vn^1 vt^1,2.704215549835908e-18,-1.2688192899122346e-17,-1.5392408448958254e-17
shear,vn^2 vt^0,0.9993830099126816,0.9993830099126818,2.220446049250313e-16
shear,vn^0 vt^3,1.6021032627274053e-17,-1.8345911750871513e-16,-1.9948015013598918e-16
shear,vn^1 vt^2,4.290924650491456e-17,1.0233657515846384e-16,5.942732865354928e-17
shear,vn^2 vt^1,1.4439056984955778e-16,1.1914113973172772e-17,-1.32476455876385e-16
shear,vn^3 vt^0,-2.3010245582204107e-17,-4.034443074062854e-17,-1.7334185158424434e-17
