case_id,geometry,kn,surface_id,s_over_Lw,x_m,y_m,records,cp_dsmc,cp_dsmc_sem,cp_s3,cp_full_control,cf_dsmc,cf_dsmc_sem,cf_s3,cf_full_control,cp_independent,cp_independent_sem,cf_independent,cf_independent_sem
ISO_Ma6_Kn0p1,ISO,0.1,981,0.008333333333333333,0.2201665,0.0005,6074,0.3913398552818019,0.004741986801387569,0.3901513001942766,0.3915659531742851,-0.0016019920641012516,0.0038295053051081115,-0.0029685023324648755,-0.0017303264966408122,,,,
ISO_Ma6_Kn0p1,ISO,0.1,982,0.025,0.2205,0.0015,5979,0.3846293559674704,0.00691190793622425,0.3836874215678073,0.3848543543928281,-0.003542267005145057,0.004060556386445796,-0.00560161774577775,-0.0032933076212393413,,,,
ISO_Ma6_Kn0p1,ISO,0.1,983,0.04166666666666667,0.22083350000000002,0.0025,6044,0.3947240579398324,0.008162043403203768,0.3942725104054677,0.3949499611653275,-0.007566058290174121,0.0027514267609946553,-0.007426798028250778,-0.00769859089935844,,,,
ISO_Ma6_Kn0p1,ISO,0.1,984,0.058333333333333334,0.2211665,0.0035,5931,0.3885358121221105,0.007405069201983665,0.3883961768883059,0.38875972663672603,-0.003736993318621764,0.004250007601913959,-0.0066893466176320675,-0.0038656217864953208,,,,
ISO_Ma6_Kn0p1,ISO,0.1,985,0.075,0.2215,0.0045000000000000005,5794,0.3847033876912003,0.00697479957588069,0.3861413169512513,0.38492879153988,-0.00419676029393125,0.002768455479363964,-0.0075602007293315175,-0.00394810185721995,,,,
ISO_Ma6_Kn0p1,ISO,0.1,986,0.09166666666666666,0.22183350000000002,0.0055,5764,0.39202190002369003,0.009754231087312444,0.3921042271274805,0.39224568026916334,-0.010795036552580859,0.0034571297391559554,-0.010585314636432499,-0.010928457070282435,,,,
ISO_Ma6_Kn0p1,ISO,0.1,987,0.10833333333333332,0.2221665,0.006500000000000001,5637,0.3864889449090826,0.00914574755128296,0.38656984142924256,0.3867091894917161,-0.012050181395509577,0.004954844043163399,-0.01072015662004855,-0.012182629074267589,,,,
ISO_Ma6_Kn0p1,ISO,0.1,988,0.125,0.2225,0.0075,5835,0.40749782872638135,0.006707073980994615,0.4066863950292043,0.40774484151524437,-0.020079954234831388,0.0021889109635950194,-0.018073538262784006,-0.019826092835007934,,,,
ISO_Ma6_Kn0p1,ISO,0.1,989,0.1416666666666667,0.22283350000000002,0.0085,5613,0.396671605365084,0.01052348640169116,0.39677667859124216,0.39689754206806266,-0.010338057456721155,0.002189406561303655,-0.013173351787698578,-0.010472652676949606,,,,
ISO_Ma6_Kn0p1,ISO,0.1,990,0.15833333333333335,0.2231665,0.0095,5830,0.41071491026549667,0.00461361752282996,0.40941650378320105,0.4109475781934731,-0.014574881875684259,0.0032904417943448745,-0.01144427686082172,-0.014715934762594751,,,,
ISO_Ma6_Kn0p1,ISO,0.1,991,0.17500000000000004,0.2235,0.010499999999999999,5801,0.41558341233494395,0.003423824873482543,0.415585546915133,0.4158293382014894,-0.011140250345279192,0.0016794369539454156,-0.014448306778148925,-0.01087676725931139,,,,
ISO_Ma6_Kn0p1,ISO,0.1,992,0.1916666666666667,0.22383350000000002,0.0115,5863,0.4217313438476644,0.00801628758785758,0.42274710776642355,0.4219704397842393,-0.011942851524596362,0.0030927722007388593,-0.011855967931916032,-0.012085826347280691,,,,
