region,target,samples,nrmse_S0,nrmse_S1,nrmse_S2,nrmse_S1_shuffled,S1_gain_percent,gain_ci95_low,gain_ci95_high,target_block_sem_percent
nearfield,cp,2040,0.9162233334480209,0.9403656059967739,0.9334294779386678,1.0138262508376918,-2.634976830146691,-5.1658940328447525,2.0203859360323073,2.6438314254682127
nearfield,cf,2040,0.39330202522204,0.3950572418015944,0.3881639791927197,0.4211340914608434,-0.4462770255412478,-4.2957434847961276,7.880553825259192,6.989722477933958
protrusion,cp,360,1.1451246867968374,1.1772873265637858,1.1689947650270944,1.0402651656228044,-2.808658317978824,-5.323352170329574,1.9931886199593976,1.9104548276052662
protrusion,cf,360,0.7917113710980409,0.7975050019997358,0.7825763863937796,0.7328617911157599,-0.7317857382368562,-4.722730136048317,8.806309253261515,6.238638129556838
